HSNCode,Description,Length
030193,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOP- HARYNGODON IDELLUS,HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP.,MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTO- BARBUS HOEVENI, MEGALOBRAMA SPP.)",6
03019300,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOP- HARYNGODON IDELLUS,HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP.,MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTO- BARBUS HOEVENI, MEGALOBRAMA SPP.)",8
030194,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",6
03019400,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",8
030195,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),6
03019500,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),8
030199,OTHER,6
03019900,OTHER,8
0302,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0303",4
030211,"TROUT (SALMO TRUTTA, ONCORHYNCUS MYKISS, ONCOR-HYNCUS CLARKII, ONCORHYNCUS AGUABONITA, ONCOR-HYNCUS GILAE, ONCORHYNCUS APACHE AND ONCOR-HYNCUS CHRYSOGASTER)",6
03021100,"TROUT (SALMO TRUTTA, ONCORHYNCUS MYKISS, ONCOR-HYNCUS CLARKII, ONCORHYNCUS AGUABONITA, ONCOR-HYNCUS GILAE, ONCORHYNCUS APACHE AND ONCOR-HYNCUS CHRYSOGASTER)",8
030213,"PACIFIC SALMON (ONCORHYNCHUS NERKA, ONCORHY-NCHUS GORBUSCHA, ONCORHYNCHUS KETA, ONCORHY-NCHUS TSCHAWYTSCHA, ONCORHYNCHUS KISUTCH, ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",6
03021300,"PACIFIC SALMON (ONCORHYNCHUS NERKA, ONCORHY-NCHUS GORBUSCHA, ONCORHYNCHUS KETA, ONCORHY-NCHUS TSCHAWYTSCHA, ONCORHYNCHUS KISUTCH, ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",8
030214,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),6
03021400,ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON(HUCHO HUCHO),8
030219,OTHER,6
03021900,OTHER,8
030221,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSIDAE, HIPPOG-LOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS)",6
03022100,"HALIBUT (RHEINHARDTIUS HIPPOGLOSSIDAE, HIPPOG-LOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS)",8
030222,PLAICE (PLEURONECTES PLATESSA),6
03022200,PLAICE (PLEURONECTES PLATESSA),8
030223,SOLE (SOLEA SPP.),6
03022300,SOLE (SOLEA SPP.),8
030224,TURBOTS (PSETTA MAXIMA),6
03022400,Turbots (Psetta maxima),8
030229,OTHER,6
03022900,OTHER,8
030231,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),6
03023100,ALBACORE OR LONG FINNED TUNAS (THUNNUS ALALUNGA),8
030232,YELLOWFIN TUNAS (THUNNUS ALBACARES),6
03023200,YELLOWFIN TUNAS (THUNNUS ALBACARES),8
030233,SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUSPELAMIS),6
03023300,SKIPJACK TUNA (STRIPE-BELLIED BONITO (KATSUWONUSPELAMIS),8
030234,BIGEYE TUNAS (THUNNUS OBESUS,6
03023400,BIGEYE TUNAS (THUNNUS OBESUS,8
030235,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS,THUNNUS ORIENTALIS)",6
03023500,"ATLANTIC AND PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALIS)",8
030236,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),6
03023600,SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),8
030239,OTHER,6
03023900,OTHER,8
03024000,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII) EXCLUDING LIVERS AND ROES",8
030241,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",6
03024100,"HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)",8
030242,ANCHOVIES (ENGRAULIS SPP.),6
03024200,ANCHOVIES (ENGRAULIS SPP.),8
030243,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS)",6
03024300,"SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS)",8
030244,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTR- ALASICUS, SCOMBER JAPONICUS)",6
03024400,"MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTR-ALASICUS, SCOMBER JAPONICUS)",8
030245,JACK AND HORSE MACKEREL (TRACHURUS SPP.),6
03024500,JACK AND HORSE MACKEREL (TRACHURUS SPP.),8
030246,COBIA (RACHYCENTRON CANADUM),6
03024600,COBIA (RACHYCENTRON CANADUM),8
030247,SWORD FISH (XIPHIAS GLADIUS),6
03024700,SWORD FISH (XIPHIAS GLADIUS),8
030249,OTHER,6
03024900,Other,8
03025000,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), EXCLUDING LIVERS AND ROES",8
030251,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",6
03025100,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)",8
030252,HADDOCK (MELANGRAMMUS AEGLLEFINUS),6
03025200,HADDOCK (MELANGRAMMUS AEGLLEFINUS),8
030253,COAL FISH (POLLACHINUS VIRENS),6
03025300,COAL FISH (POLLACHINUS VIRENS),8
030254,"HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)",6
03025400,"HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)",8
030255,ALASKA POLLOCK (THERAGRACHALCOGRAMMA),6
03025500,ALASKA POLLOCK (THERAGRACHALCOGRAMMA),8
030256,"BLUE WHITTINGS (MICROMESISTIUS POUTASSOU, MICRO-MESISTIUS AUSTRALIS)",6
03025600,"BLUE WHITTINGS (MICROMESISTIUS POUTASSOU, MICRO-MESISTIUS AUSTRALIS)",8
030259,OTHER,6
03025900,OTHER,8
03026100,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES : SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.) BRISLING OR SPRATS(SPRATTUS SPRATTUS)",8
03026200,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES HADDOCK (MELANOGRAMMUS AEGLEFINUS)",8
03026300,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES COALFISH (POLLACHIUS VIRENS)",8
03026400,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)",8
03026500,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES DOGFISH AND OTHER SHARKS",8
03026600,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304- OTHER FISH, EXCLUDING LIVERS AND ROES:--  EELS (ANGUILLA SPP.)",8
03026700,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304- OTHER FISH, EXCLUDING LIVERS AND ROES:--  SWORDFISH (XIPHIAS GLADIUS)",8
03026800,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304- OTHER FISH, EXCLUDING LIVERS AND ROES:-- TOOTHFISH (DISSOSTICHUS SPP.)",8
03026910,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER : HILSA",8
03026920,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER DARA",8
03026930,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER POMFRET",8
03026990,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304 OTHER FISH, EXCLUDING LIVERS AND ROES  OTHER OTHER",8
03027000,"FISH, FRESH OR CHILLED, EXCLUDING FISHFILLETS AND OTHER FISH MEAT OF HEADING 0304LIVERS AND ROES",8
030271,"TILAPIAS (OREOCHROMIS SPP.),",6
03027100,"TILAPIAS (OREOCHROMIS SPP.),",8
030272,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",6
03027200,"CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",8
030273,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP.,CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLACATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBAR-BUS HOEVENI, MEGALOBRAMA SPP.):",6
03027300,"CARP (CYPRINUS SPP., CARASSIUS SPP., CTENO-PHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP.,CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLACATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBAR- BUS HOEVENI, MEGALOBRAMA SPP.):",8
030274,EELS (ANGUILLA SPP.),6
03027400,EELS (ANGUILLA SPP.),8
030279,OTHER,6
03027900,OTHER,8
030281,DOGFISH AND OTHER SHARKS,6
03028100,DOGFISH AND OTHER SHARKS,8
030282,RAYS AND SKATES (RAJIDAE),6
03028200,RAYS AND SKATES (RAJIDAE),8
030283,TOOTH FISH (DISSOSTICHUS SPP.),6
03028300,TOOTH FISH (DISSOSTICHUS SPP.),8
030284,SEABASS (DICENTRARCHUS SPP.),6
03028400,SEABASS (DICENTRARCHUS SPP.),8
030285,SEABREAM (SPARIDAE),6
03028500,SEABREAM (SPARIDAE),8
030289,OTHER:,6
03028910,HILSA ( TENUALOSA ILISHA),8
03028920,DARA,8
03028930,POMFRET,8
03028990,OTHER,8
03029000,LIVERS AND ROES,8
030291,"Livers, roes and milt",6
03029100,"LIVERS, ROES AND MILT",8
03029110,"livers, roes and milt",8
030292,SHARK FINS:,6
03029200,SHARK FINS,8
03029210,Shark fins,8
030299,OTHER:,6
03029910,"Fish fins other than shark fins; heads, tails and maws",8
03029990,Other edible fish offal,8
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0303",4
030311,SOCKEYE SALMON (RED SALMON) (ONCORHYNCHUS NERKA),6
03031100,SOCKEYE SALMON (RED SALMON) (ONCORHYNCHUS NERKA),8
030312,"OTHER PACIFIC SALMON (ONCORHYNCHUS GORBUSCHA, ONCORHYNCHUS KETA, ONCORHYNCHUS TSCHAWYTSCHA,ONCORHYNCHUS KISUTCH,ONCORHYNCHUS MASOU AND ONCORHYNCHUS RHODURUS)",6
